id,wavelet_coif1_lh_level_3_invar_stat_p10,log_s_2.0_ih_skew_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_rlm_lrhge_2d_s_mrg_fbn_n32,log_s_1.0_cm_info_corr2_d1_2d_s_mrg_fbn_n32,log_s_2.0_cm_corr_d1_2d_s_mrg_fbn_n32,log_s_4.0_ih_skew_fbn_n32,log_s_1.0_cm_corr_d1_2d_s_mrg_fbn_n32,wavelet_coif1_lh_level_2_invar_cm_info_corr2_d1_2d_s_mrg_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_rlm_rl_entr_2d_s_mrg_fbn_n32,gabor_s_4.0_g_1.0_l_8.0_2D_stat_iqr,gabor_s_2.0_g_1.0_l_8.0_2D_ngl_dcnu_d1_a0.0_2d_fbn_n32,cm_diff_var_d16_2d_avg_fbn_n32,log_s_4.0_stat_skew
06803_01,0.138657599053136,0.4585293346754206,329.2683716518952,0.7300126658233655,0.9187076452050348,0.1472795614501245,0.6781400945567753,0.7963293929145115,5.889257012113882,3.845064748736896,6961.350033709759,8.508061184215315,0.1459875921939323
06803_02,0.1050464719528598,0.7068207611652163,377.8102894644322,0.734716112098055,0.915508162101086,0.2865150497136067,0.696888964680339,0.8137729749333701,6.241850574602673,4.700392058375529,6186.481858503599,8.322338974754349,0.2882910213559447
06805_01,0.3906166953933112,-0.2873639665549166,457.2157046953594,0.7770312585216506,0.9333861045997096,-0.2019871493144566,0.6891448121774196,0.8337580587586852,5.664812901690495,4.439221512835861,6884.766953702766,15.549716463702053,-0.2019444360543186
06807_01,0.1351720112726824,0.1799326256592215,355.0464263376357,0.7180939947092575,0.92726129906992,-0.1602560584160058,0.6581157412940405,0.8108635021372533,5.861050677328006,4.171969379401341,6312.961958016317,10.15667670278932,-0.160503478051728
06809_01,0.2955777722950335,-0.3667764823860799,557.6415063738688,0.825020950849847,0.9331662974436148,-0.2871134435010636,0.7382688896831141,0.8668972687328103,5.994208821164506,5.729963986879877,6594.451234233859,11.617638346333662,-0.2884194461339542
06811_01,0.1333373835144395,0.4461546083069488,402.486822075635,0.7084166655953125,0.9150974854232816,0.2145497462944326,0.6585385667477406,0.777336593338116,6.007758629632705,4.665194789549346,6588.061645052408,9.965745119427542,0.2154839291207471
06811_02,0.1032262207140042,0.400508901838611,260.2373245104176,0.7485650308199541,0.92420058560005,-0.0667499535585527,0.691753670546747,0.8218826967324571,5.782628608611821,5.526734753153179,6126.820110825787,13.547979969591616,-0.0669512904817664
06811_03,0.1711210128948609,-0.1805371434412283,223.43356839184335,0.7441963550719576,0.9261341636352524,-0.4252715996426304,0.6754999834817164,0.8059831773065885,5.62769510458537,4.673811542791372,6447.981776391397,14.515556898583856,-0.4258539862516075
06813_01,0.275374298841592,0.1164835647674992,362.83659542557183,0.7689587570818947,0.9223205575378288,-0.0622858490579469,0.7005684851787267,0.8184577503511131,5.8862798416159015,3.188959023224946,6580.515141160893,7.942892314333832,-0.0614312983928903
06813_02,0.174777095316538,0.4262322601627696,377.3766974015088,0.745919891970391,0.9269383012675846,-0.1539650261902757,0.6939357341287354,0.808890299884106,5.934451816461267,3.125142660960473,5667.705680610569,14.006705846309202,-0.1552377090565616
06815_01,0.2584053970861865,-0.2500058072224741,590.1340253857405,0.8271259746496638,0.934052650745814,-0.1243402523029486,0.7405371379233799,0.8692328111914503,5.709996109350897,4.695936666308062,7029.106202931412,16.46558070131806,-0.124154333392005
